STATUS,TYPE,TD_DIVN_CODE,TD_DOC_DT,SR_NO,TD_DOC_NO,MAIN_ACNT_CATG,TD_MAIN_ACNT_CODE,MAIN_ACNT_NAME,TD_SUB_ACNT_CODE,SUB_ACNT_NAME, DR_IN_TZS , CR_IN_TZS , TD_CURR_CODE , DR_IN_FC , CR_IN_FC , CREATED_BY , AUTHORISED_BY , GENERATED 
OPENING BAL,REGULAR,FLR,24/01/2017,1002,1002017,OT,1111110100,BUILDINGS FACTORY  ,1111110110,FACTORY BUILDINGSPERMANENT,"12,96,298",, TZS ,"87,39,23,44,886.00 ",,,,Automatic
OPENING BAL,REGULAR,PPB,24/01/2017,1003,1002017,OT,1111110100,BUILDINGS FACTORY  ,1111110110,FACTORY BUILDINGSPERMANENT,"14,50,000",, TZS ,"29,09,83,300.00 ",,,,Automatic
OPENING BAL,REGULAR,FLR,24/01/2017,1004,1002017,OT,1111120100,PLANT & MACHINERYFACTORY,1111120110,FACTORYPLANT AND MACHINERY,"16,94,236",, TZS ,"85,05,93,09,139.00 ",,,,Mannual
OPENING BAL,REGULAR,TRA,24/01/2017,1005,1002017,OT,1111120100,PLANT & MACHINERYFACTORY,1111120110,FACTORYPLANT AND MACHINERY,"19,00,000",, TZS ,,,,,Mannual
OPENING BAL,REGULAR,PPB,24/01/2017,1006,1002017,OT,1111120100,PLANT & MACHINERYFACTORY,1111120110,FACTORYPLANT AND MACHINERY,"21,41,300","28,56,10,000.00 ", TZS ,"9,16,91,298.00 ","28,56,10,000.00 ",,,Mannual
OPENING BAL,REGULAR,FLR,24/01/2017,1007,1002017,OT,1111120100,PLANT & MACHINERYFACTORY,1111120170,KURASINI SILO,"22,57,644",, TZS ,"19,27,95,91,614.00 ",,,,Mannual
OPENING BAL,REGULAR,TRA,24/01/2017,1008,1002017,OT,1111120100,PLANT & MACHINERYFACTORY,1111120120,FACTORYNCA  AIR COMPRESSOR,"24,86,935",, TZS ,,,,,Mannual
OPENING BAL,REGULAR,FLR,24/01/2017,1009,1002017,OT,1111120100,PLANT & MACHINERYFACTORY,1111120510,ELECTICAL FITTINGS,"27,74,425",, TZS ,"1,31,68,34,944.00 ",,,,Mannual
OPENING BAL,REGULAR,TRA,24/01/2017,1010,1002017,OT,1111120100,PLANT & MACHINERYFACTORY,1111120220,FACTORY NCA SERVICE BAY,"27,74,425",, TZS ,"46,20,000.00 ",,,,Mannual
OPENING BAL,REGULAR,FLR,24/01/2017,1011,1002017,OT,1111130100,OFFICE EQUIPMENTSFACTORY,1111130140,FACTORYNCA  COMPUTERS,"33,60,500","70,80,000.00 ", TZS ,"70,80,000.00 ","70,80,000.00 ",,,Mannual
OPENING BAL,REGULAR,FLR,24/01/2017,1012,1002017,OT,1111140100,FURNITURE & FITTINGSFACTORY,1111140110,FACTORYFURNITURE AND FITTINGS,"34,75,500",, TZS ,"2,01,31,262.00 ",,,,Mannual
OPENING BAL,REGULAR,FLR,24/01/2017,1013,1002017,OT,1111210100,"BUILDINGS OFFICE, RESIDENTIAL & OTHERS",1111210110,NONFACTORY BUILDINGS,"36,32,985",, TZS ,"2,19,42,96,132.00 ",,,,Mannual
OPENING BAL,REGULAR,FLR,24/01/2017,1014,1002017,OT,1111215100,BUILDINGS  BAKHRESA FAMILY,1111215101,BUILDINGS  MR.ABUBAKAR,"37,46,610","21,70,17,837.00 ", TZS ,"21,70,17,837.00 ","21,70,17,837.00 ",,,Mannual
OPENING BAL,REGULAR,ICD,24/01/2017,1015,1002017,OT,1111220100,OFFICE EQUIPMENTS,1111220160,OFFICE EQUIPMENTSCOMPUTERS,"43,74,314",, TZS ,"24,86,935.00 ",,,,Mannual
OPENING BAL,REGULAR,TRA,24/01/2017,1016,1002017,OT,1111220100,OFFICE EQUIPMENTS,1111220190,OFFICE EQUIPFINGER PRINT & OTHER ASSETS,"43,85,000",, TZS ,"59,64,992.00 ",,,,Mannual
OPENING BAL,REGULAR,TRA,24/01/2017,1017,1002017,OT,1111220100,OFFICE EQUIPMENTS,1111220110,OFFICEOFFICE EQUIPMENTSEPABX TELE,"46,20,000",, TZS ,"64,45,000.00 ",,,,Mannual
OPENING BAL,REGULAR,ICD,24/01/2017,1018,1002017,OT,1111220100,OFFICE EQUIPMENTS,1111220190,OFFICE EQUIPFINGER PRINT & OTHER ASSETS,"46,20,000",, TZS ,"49,40,000.00 ",,,,Mannual
